precision,recall,threshold
0.05277777777777778,1.0,0.006847356
0.05285118219749652,1.0,0.014459829
0.052924791086350974,1.0,0.014539816
0.05299860529986053,1.0,0.022506578
0.05307262569832402,1.0,0.022584504
0.05314685314685315,1.0,0.024806976
0.05322128851540616,1.0,0.026298149
0.05329593267882188,1.0,0.027656456
0.05337078651685393,1.0,0.0277837
0.053445850914205346,1.0,0.027979616
0.05352112676056338,1.0,0.028460106
0.0535966149506347,1.0,0.02912426
0.05367231638418079,1.0,0.029279603
0.05374823196605375,1.0,0.029297212
0.053824362606232294,1.0,0.029655145
0.05390070921985816,1.0,0.02968376
0.05397727272727273,1.0,0.03022789
0.05405405405405406,1.0,0.03071387
0.05413105413105413,1.0,0.03137024
0.05420827389443652,1.0,0.032226875
0.054285714285714284,1.0,0.032605194
0.05436337625178827,1.0,0.033465635
0.054441260744985676,1.0,0.033698678
0.054519368723098996,1.0,0.03393808
0.05459770114942529,1.0,0.034559257
0.05467625899280575,1.0,0.035016194
0.05475504322766571,1.0,0.03536566
0.05483405483405483,1.0,0.035807744
0.05491329479768786,1.0,0.03665819
0.05499276410998553,1.0,0.037039265
0.05507246376811594,1.0,0.037115026
0.055152394775036286,1.0,0.03758065
0.055232558139534885,1.0,0.038545474
0.055312954876273655,1.0,0.03875087
0.05539358600583091,1.0,0.039230917
0.05547445255474453,1.0,0.03932435
0.05555555555555555,1.0,0.039465927
0.055636896046852125,1.0,0.039508477
0.05571847507331378,1.0,0.04003076
0.055800293685756244,1.0,0.040243685
0.05588235294117647,1.0,0.040295057
0.055964653902798235,1.0,0.041003484
0.05604719764011799,1.0,0.041205514
0.056129985228951254,1.0,0.041279837
0.05621301775147929,1.0,0.04150669
0.056296296296296296,1.0,0.041694555
0.05637982195845697,1.0,0.04262249
0.05646359583952452,1.0,0.04280044
0.05654761904761905,1.0,0.04288442
0.05663189269746647,1.0,0.04293804
0.056716417910447764,1.0,0.04294614
0.05680119581464873,1.0,0.043659903
0.05688622754491018,1.0,0.043760028
0.05697151424287856,1.0,0.043948233
0.057057057057057055,1.0,0.044497337
0.05714285714285714,1.0,0.044716977
0.0572289156626506,1.0,0.044730287
0.05731523378582202,1.0,0.04530752
0.05740181268882175,1.0,0.045439344
0.057488653555219364,1.0,0.04548238
0.05757575757575758,1.0,0.045528483
0.057663125948406675,1.0,0.045662247
0.057750759878419454,1.0,0.0461071
0.0578386605783866,1.0,0.046815213
0.057926829268292686,1.0,0.04692187
0.05801526717557252,1.0,0.047080234
0.0581039755351682,1.0,0.048065644
0.05819295558958652,1.0,0.04843284
0.05828220858895705,1.0,0.04846268
0.05837173579109063,1.0,0.04848612
0.05846153846153846,1.0,0.048671152
0.05855161787365177,1.0,0.04868026
0.05864197530864197,1.0,0.049123492
0.05873261205564142,1.0,0.04930328
0.058823529411764705,1.0,0.049430408
0.05891472868217054,1.0,0.04966825
0.059006211180124224,1.0,0.049802437
0.05909797822706065,1.0,0.050141435
0.059190031152647975,1.0,0.05026247
0.059282371294851796,1.0,0.050496265
0.059375,1.0,0.05052702
0.0594679186228482,1.0,0.05082674
0.05956112852664577,1.0,0.051125593
0.059654631083202514,1.0,0.05114201
0.059748427672955975,1.0,0.051161125
0.05984251968503937,1.0,0.051198184
0.05993690851735016,1.0,0.051244035
0.06003159557661927,1.0,0.051467046
0.060126582278481014,1.0,0.05214457
0.060221870047543584,1.0,0.05215946
0.06031746031746032,1.0,0.05218994
0.06041335453100159,1.0,0.052380517
0.06050955414012739,1.0,0.052886944
0.06060606060606061,1.0,0.05306952
0.06070287539936102,1.0,0.053757116
0.0608,1.0,0.053808343
0.060897435897435896,1.0,0.054058343
0.060995184590690206,1.0,0.054093465
0.06109324758842444,1.0,0.05500085
0.061191626409017714,1.0,0.055150427
0.06129032258064516,1.0,0.055555597
0.061389337641357025,1.0,0.055614762
0.061488673139158574,1.0,0.055716448
0.06158833063209076,1.0,0.0557729
0.06168831168831169,1.0,0.05601613
0.061788617886178863,1.0,0.05601803
0.06188925081433225,1.0,0.05612268
0.06199021207177814,1.0,0.056555253
0.06209150326797386,1.0,0.056597967
0.062193126022913256,1.0,0.056971405
0.06229508196721312,1.0,0.05703239
0.06239737274220033,1.0,0.057711568
0.0625,1.0,0.058992002
0.06260296540362438,1.0,0.05932741
0.0627062706270627,1.0,0.059458494
0.0628099173553719,1.0,0.05979975
0.06291390728476821,1.0,0.060526032
0.06301824212271974,1.0,0.060684595
0.06312292358803986,1.0,0.06071634
0.0632279534109817,1.0,0.06082447
0.06333333333333334,1.0,0.06251615
0.06343906510851419,1.0,0.06264603
0.06354515050167224,1.0,0.06285624
0.06365159128978225,1.0,0.06295694
0.06375838926174497,1.0,0.06371626
0.06386554621848739,1.0,0.064044625
0.06397306397306397,1.0,0.064241916
0.06408094435075885,1.0,0.06488298
0.06418918918918919,1.0,0.06519512
0.06429780033840947,1.0,0.06522682
0.06440677966101695,1.0,0.06625256
0.06451612903225806,1.0,0.066380374
0.06462585034013606,1.0,0.06697032
0.06473594548551959,1.0,0.06711033
0.06484641638225255,1.0,0.06711037
0.06495726495726496,1.0,0.06752125
0.06506849315068493,1.0,0.06779253
0.06518010291595197,1.0,0.06780562
0.06529209621993128,1.0,0.0683187
0.06540447504302926,1.0,0.06899154
0.06551724137931035,1.0,0.06910339
0.06563039723661486,1.0,0.06936654
0.0657439446366782,1.0,0.06951017
0.0658578856152513,1.0,0.069523156
0.06597222222222222,1.0,0.069534265
0.06608695652173913,1.0,0.069552764
0.06620209059233449,1.0,0.06956885
0.06631762652705062,1.0,0.069621295
0.06643356643356643,1.0,0.06966823
0.06654991243432574,1.0,0.06984692
0.06666666666666667,1.0,0.069922775
0.06678383128295255,1.0,0.06996598
0.06690140845070422,1.0,0.070051566
0.06701940035273368,1.0,0.07044025
0.06713780918727916,1.0,0.07051302
0.06725663716814159,1.0,0.07067151
0.0673758865248227,1.0,0.070681244
0.0674955595026643,1.0,0.07079319
0.06761565836298933,1.0,0.070927314
0.0677361853832442,1.0,0.07137418
0.06785714285714285,1.0,0.07153622
0.06797853309481217,1.0,0.07156591
0.06810035842293907,1.0,0.072019674
0.06822262118491922,1.0,0.072027214
0.0683453237410072,1.0,0.07243834
0.06846846846846846,1.0,0.07258871
0.06859205776173286,1.0,0.07263466
0.06871609403254973,1.0,0.07325073
0.06884057971014493,1.0,0.073359214
0.06896551724137931,1.0,0.07389113
0.06909090909090909,1.0,0.073956564
0.0692167577413479,1.0,0.0739755
0.06934306569343066,1.0,0.073991016
0.06946983546617916,1.0,0.0740596
0.0695970695970696,1.0,0.07463843
0.06972477064220184,1.0,0.07468915
0.06985294117647059,1.0,0.074786164
0.06998158379373849,1.0,0.075069375
0.07011070110701106,1.0,0.075128496
0.07024029574861368,1.0,0.075194314
0.07037037037037037,1.0,0.075215966
0.07050092764378478,1.0,0.075308755
0.07063197026022305,1.0,0.0758706
0.07076350093109869,1.0,0.07605639
0.0708955223880597,1.0,0.07612851
0.07102803738317758,1.0,0.07633581
0.07116104868913857,1.0,0.07635545
0.07129455909943715,1.0,0.07665212
0.07142857142857142,1.0,0.07689842
0.07156308851224105,1.0,0.07691539
0.07169811320754717,1.0,0.07737808
0.07183364839319471,1.0,0.07752614
0.07196969696969698,1.0,0.0780433
0.07210626185958255,1.0,0.0780743
0.07224334600760456,1.0,0.078305654
0.07238095238095238,1.0,0.078420326
0.07251908396946564,1.0,0.07845494
0.07265774378585087,1.0,0.07847347
0.07279693486590039,1.0,0.07863918
0.07293666026871401,1.0,0.07872117
0.07307692307692308,1.0,0.07879864
0.07321772639691715,1.0,0.07893715
0.07335907335907337,1.0,0.07896893
0.0735009671179884,1.0,0.07908228
0.07364341085271318,1.0,0.07913849
0.07378640776699029,1.0,0.07919864
0.07392996108949416,1.0,0.07935602
0.07407407407407407,1.0,0.079472154
0.07421875,1.0,0.07973957
0.07436399217221135,1.0,0.07982213
0.07450980392156863,1.0,0.079939194
0.07465618860510806,1.0,0.080050975
0.07480314960629922,1.0,0.080472335
0.07495069033530571,1.0,0.08066865
0.07509881422924901,1.0,0.08076179
0.07326732673267326,0.9736842105263158,0.08132532
0.07341269841269842,0.9736842105263158,0.08154583
0.073558648111332,0.9736842105263158,0.08164012
0.07370517928286853,0.9736842105263158,0.0817196
0.07385229540918163,0.9736842105263158,0.08211798
0.074,0.9736842105263158,0.08233422
0.07414829659318638,0.9736842105263158,0.08253547
0.07429718875502007,0.9736842105263158,0.08282937
0.0744466800804829,0.9736842105263158,0.08303241
0.07459677419354839,0.9736842105263158,0.08316268
0.07474747474747474,0.9736842105263158,0.083468564
0.07489878542510121,0.9736842105263158,0.083494656
0.07505070993914807,0.9736842105263158,0.08360514
0.07520325203252033,0.9736842105263158,0.08378149
0.07535641547861507,0.9736842105263158,0.08379774
0.07551020408163266,0.9736842105263158,0.083831854
0.07566462167689161,0.9736842105263158,0.083933115
0.07581967213114754,0.9736842105263158,0.084037624
0.07597535934291581,0.9736842105263158,0.08427572
0.07613168724279835,0.9736842105263158,0.08427855
0.07628865979381444,0.9736842105263158,0.08447563
0.07644628099173553,0.9736842105263158,0.08467214
0.07660455486542443,0.9736842105263158,0.084714584
0.07676348547717843,0.9736842105263158,0.08495502
0.07692307692307693,0.9736842105263158,0.08512733
0.07708333333333334,0.9736842105263158,0.08515159
0.07724425887265135,0.9736842105263158,0.08519641
0.07740585774058577,0.9736842105263158,0.08532198
0.07756813417190776,0.9736842105263158,0.08585446
0.07773109243697479,0.9736842105263158,0.085864894
0.07789473684210527,0.9736842105263158,0.08646034
0.07805907172995781,0.9736842105263158,0.08665504
0.07822410147991543,0.9736842105263158,0.08667745
0.07838983050847458,0.9736842105263158,0.08804104
0.07855626326963906,0.9736842105263158,0.08866383
0.07872340425531915,0.9736842105263158,0.08954307
0.07889125799573561,0.9736842105263158,0.089697145
0.07905982905982906,0.9736842105263158,0.08974644
0.07922912205567452,0.9736842105263158,0.090081386
0.07939914163090128,0.9736842105263158,0.09015557
0.07956989247311828,0.9736842105263158,0.09057698
0.07974137931034483,0.9736842105263158,0.0907641
0.07991360691144708,0.9736842105263158,0.090992354
0.08008658008658008,0.9736842105263158,0.09113565
0.08026030368763558,0.9736842105263158,0.091499254
0.08043478260869565,0.9736842105263158,0.091839164
0.08061002178649238,0.9736842105263158,0.091966785
0.08078602620087336,0.9736842105263158,0.09203387
0.08096280087527352,0.9736842105263158,0.092635244
0.08114035087719298,0.9736842105263158,0.09285393
0.08131868131868132,0.9736842105263158,0.09330741
0.08149779735682819,0.9736842105263158,0.09341016
0.08167770419426049,0.9736842105263158,0.09408665
0.08185840707964602,0.9736842105263158,0.09438048
0.082039911308204,0.9736842105263158,0.09496227
0.08222222222222222,0.9736842105263158,0.0950717
0.08240534521158129,0.9736842105263158,0.09551341
0.08258928571428571,0.9736842105263158,0.09557272
0.08277404921700224,0.9736842105263158,0.095593214
0.08295964125560538,0.9736842105263158,0.09568617
0.08314606741573034,0.9736842105263158,0.09581715
0.08333333333333333,0.9736842105263158,0.09585857
0.0835214446952596,0.9736842105263158,0.096082166
0.083710407239819,0.9736842105263158,0.09646954
0.08390022675736962,0.9736842105263158,0.096828565
0.08409090909090909,0.9736842105263158,0.0973691
0.08428246013667426,0.9736842105263158,0.09759116
0.08447488584474885,0.9736842105263158,0.09796889
0.08466819221967964,0.9736842105263158,0.09838082
0.08486238532110092,0.9736842105263158,0.098446235
0.08505747126436781,0.9736842105263158,0.09848975
0.08525345622119816,0.9736842105263158,0.09867096
0.08545034642032333,0.9736842105263158,0.098896354
0.08564814814814815,0.9736842105263158,0.09904568
0.08584686774941995,0.9736842105263158,0.09948401
0.08604651162790698,0.9736842105263158,0.09979652
0.08624708624708624,0.9736842105263158,0.0998572
0.08644859813084112,0.9736842105263158,0.09999463
0.08665105386416862,0.9736842105263158,0.10001242
0.08685446009389672,0.9736842105263158,0.10004611
0.08705882352941176,0.9736842105263158,0.10006072
0.08726415094339622,0.9736842105263158,0.10020219
0.08747044917257683,0.9736842105263158,0.10044842
0.08767772511848342,0.9736842105263158,0.10045657
0.08788598574821853,0.9736842105263158,0.10071082
0.0880952380952381,0.9736842105263158,0.10071847
0.0883054892601432,0.9736842105263158,0.10144963
0.08851674641148326,0.9736842105263158,0.10209151
0.08872901678657075,0.9736842105263158,0.10211219
0.0889423076923077,0.9736842105263158,0.102202505
0.0891566265060241,0.9736842105263158,0.102321595
0.0893719806763285,0.9736842105263158,0.10264316
0.08958837772397095,0.9736842105263158,0.10290994
0.08980582524271845,0.9736842105263158,0.10308892
0.09002433090024331,0.9736842105263158,0.103094876
0.09024390243902439,0.9736842105263158,0.103125714
0.09046454767726161,0.9736842105263158,0.1032489
0.09068627450980392,0.9736842105263158,0.103268
0.09090909090909091,0.9736842105263158,0.10328528
0.09113300492610837,0.9736842105263158,0.10357053
0.09135802469135802,0.9736842105263158,0.10402344
0.09158415841584158,0.9736842105263158,0.1040624
0.09181141439205956,0.9736842105263158,0.10432276
0.09203980099502487,0.9736842105263158,0.10450424
0.09226932668329177,0.9736842105263158,0.10456383
0.0925,0.9736842105263158,0.10480929
0.09273182957393483,0.9736842105263158,0.10497358
0.09296482412060302,0.9736842105263158,0.10541067
0.09319899244332494,0.9736842105263158,0.10554461
0.09343434343434344,0.9736842105263158,0.10593024
0.09367088607594937,0.9736842105263158,0.105930805
0.09390862944162437,0.9736842105263158,0.10606712
0.09414758269720101,0.9736842105263158,0.10610784
0.09438775510204081,0.9736842105263158,0.106314786
0.09462915601023018,0.9736842105263158,0.106349334
0.09487179487179487,0.9736842105263158,0.10686532
0.09511568123393316,0.9736842105263158,0.1069585
0.09536082474226804,0.9736842105263158,0.106961645
0.09560723514211886,0.9736842105263158,0.10699493
0.09585492227979274,0.9736842105263158,0.107015654
0.09610389610389611,0.9736842105263158,0.10719534
0.09635416666666667,0.9736842105263158,0.10742674
0.09660574412532637,0.9736842105263158,0.107603535
0.0968586387434555,0.9736842105263158,0.10786834
0.09711286089238845,0.9736842105263158,0.108106576
0.09736842105263158,0.9736842105263158,0.108495675
0.09762532981530343,0.9736842105263158,0.108566016
0.09788359788359788,0.9736842105263158,0.108566515
0.09814323607427056,0.9736842105263158,0.10860916
0.09840425531914894,0.9736842105263158,0.109232605
0.09866666666666667,0.9736842105263158,0.109386645
0.09893048128342247,0.9736842105263158,0.10939971
0.09919571045576407,0.9736842105263158,0.10970699
0.09946236559139784,0.9736842105263158,0.11019313
0.09973045822102426,0.9736842105263158,0.11020513
0.1,0.9736842105263158,0.11029622
0.1002710027100271,0.9736842105263158,0.110298075
0.10054347826086957,0.9736842105263158,0.1104637
0.1008174386920981,0.9736842105263158,0.11049345
0.10109289617486339,0.9736842105263158,0.11068269
0.10136986301369863,0.9736842105263158,0.11079156
0.10164835164835165,0.9736842105263158,0.11090349
0.10192837465564739,0.9736842105263158,0.111786634
0.10220994475138122,0.9736842105263158,0.11183981
0.10249307479224377,0.9736842105263158,0.1121364
0.10277777777777777,0.9736842105263158,0.11218921
0.10306406685236769,0.9736842105263158,0.11241244
0.10335195530726257,0.9736842105263158,0.112716235
0.10364145658263306,0.9736842105263158,0.112816624
0.10393258426966293,0.9736842105263158,0.11307034
0.10422535211267606,0.9736842105263158,0.1134438
0.10451977401129943,0.9736842105263158,0.11344625
0.1048158640226629,0.9736842105263158,0.11438315
0.10511363636363637,0.9736842105263158,0.115184575
0.10541310541310542,0.9736842105263158,0.11532785
0.10571428571428572,0.9736842105263158,0.115428686
0.10601719197707736,0.9736842105263158,0.11576679
0.10632183908045977,0.9736842105263158,0.11626446
0.10662824207492795,0.9736842105263158,0.11639008
0.1069364161849711,0.9736842105263158,0.11658539
0.1072463768115942,0.9736842105263158,0.116887756
0.10755813953488372,0.9736842105263158,0.11736822
0.10787172011661808,0.9736842105263158,0.117897734
0.10818713450292397,0.9736842105263158,0.11823111
0.10850439882697947,0.9736842105263158,0.11838288
0.10882352941176471,0.9736842105263158,0.11844022
0.10914454277286136,0.9736842105263158,0.11860219
